1501682400 Wed, 02 Aug 2017 14:00:00 GMT 6.82
1501684200 Wed, 02 Aug 2017 14:30:00 GMT 13.90
1501686000 Wed, 02 Aug 2017 15:00:00 GMT 5.24
1501687800 Wed, 02 Aug 2017 15:30:00 GMT 7.56
1501689600 Wed, 02 Aug 2017 16:00:00 GMT 13.73
1501691400 Wed, 02 Aug 2017 16:30:00 GMT 13.75
1501693200 Wed, 02 Aug 2017 17:00:00 GMT 11.23
1501695000 Wed, 02 Aug 2017 17:30:00 GMT 17.47
1501696800 Wed, 02 Aug 2017 18:00:00 GMT 15.35
1501698600 Wed, 02 Aug 2017 18:30:00 GMT 14.11
1501700401 Wed, 02 Aug 2017 19:00:01 GMT 13.72
1501702201 Wed, 02 Aug 2017 19:30:01 GMT 7.68
1501704001 Wed, 02 Aug 2017 20:00:01 GMT 6.79
1501705801 Wed, 02 Aug 2017 20:30:01 GMT 14.57
1501707600 Wed, 02 Aug 2017 21:00:00 GMT 14.38
1501709400 Wed, 02 Aug 2017 21:30:00 GMT 12.30
1501711200 Wed, 02 Aug 2017 22:00:00 GMT 15.81
1501713000 Wed, 02 Aug 2017 22:30:00 GMT 14.96
1501714800 Wed, 02 Aug 2017 23:00:00 GMT 19.94
1501716600 Wed, 02 Aug 2017 23:30:00 GMT 20.41
1501718400 Thu, 03 Aug 2017 00:00:00 GMT 18.59
1501720200 Thu, 03 Aug 2017 00:30:00 GMT 20.48
1501722000 Thu, 03 Aug 2017 01:00:00 GMT 18.74
1501723800 Thu, 03 Aug 2017 01:30:00 GMT 19.59
1501725600 Thu, 03 Aug 2017 02:00:00 GMT 13.95
1501727400 Thu, 03 Aug 2017 02:30:00 GMT 17.31
1501729200 Thu, 03 Aug 2017 03:00:00 GMT 16.32
1501731000 Thu, 03 Aug 2017 03:30:00 GMT 15.32
1501732800 Thu, 03 Aug 2017 04:00:00 GMT 12.31
1501734600 Thu, 03 Aug 2017 04:30:00 GMT 13.39
1501736400 Thu, 03 Aug 2017 05:00:00 GMT 19.06
1501738200 Thu, 03 Aug 2017 05:30:00 GMT 13.52
1501740000 Thu, 03 Aug 2017 06:00:00 GMT 16.15
1501741800 Thu, 03 Aug 2017 06:30:00 GMT 16.74
1501743601 Thu, 03 Aug 2017 07:00:01 GMT 17.37
1501745401 Thu, 03 Aug 2017 07:30:01 GMT 10.48
1501747201 Thu, 03 Aug 2017 08:00:01 GMT 15.15
1501749000 Thu, 03 Aug 2017 08:30:00 GMT 18.35
1501750800 Thu, 03 Aug 2017 09:00:00 GMT 12.25
1501752600 Thu, 03 Aug 2017 09:30:00 GMT 18.15
1501754400 Thu, 03 Aug 2017 10:00:00 GMT 17.63
1501755890 Thu, 03 Aug 2017 10:24:50 GMT 17.62 23090560
1501756200 Thu, 03 Aug 2017 10:30:00 GMT 12.23 16024320
1501760340 26288496 20.06 Thu, 03 Aug 2017 11:39:00 GMT
1501760558 25584768 19.52 Thu, 03 Aug 2017 11:42:38 GMT
1501760613 18202112 13.89 Thu, 03 Aug 2017 11:43:33 GMT
1501760668 19605224 14.96 Thu, 03 Aug 2017 11:44:28 GMT
1501760699 23417808 17.87 Thu, 03 Aug 2017 11:44:59 GMT
1501760745 19383680 14.79 Thu, 03 Aug 2017 11:45:45 GMT
1501760840 23403328 17.86 Thu, 03 Aug 2017 11:47:20 GMT
1501760916 20662264 15.76 Thu, 03 Aug 2017 11:48:36 GMT
1501761600 15927304 12.15 Thu, 03 Aug 2017 12:00:00 GMT
1501763400 21302280 16.25 Thu, 03 Aug 2017 12:30:00 GMT
1501790400 14495232 11.06 Thu, 03 Aug 2017 20:00:00 GMT
1501792200 18881224 14.40 Thu, 03 Aug 2017 20:30:00 GMT
1501794000 18024008 13.75 Thu, 03 Aug 2017 21:00:00 GMT
1501795800 22315184 17.02 Thu, 03 Aug 2017 21:30:00 GMT
1501797600 10016568 7.64 Thu, 03 Aug 2017 22:00:00 GMT
1501799400 20573936 15.70 Thu, 03 Aug 2017 22:30:00 GMT
1501831800 14913008 11.38 Fri, 04 Aug 2017 07:30:00 GMT
1501833600 18900048 14.42 Fri, 04 Aug 2017 08:00:00 GMT
1501835400 18435992 14.07 Fri, 04 Aug 2017 08:30:00 GMT
1501837200 17055296 13.01 Fri, 04 Aug 2017 09:00:00 GMT
1501839000 20161256 15.38 Fri, 04 Aug 2017 09:30:00 GMT
1501840800 12100240 9.23 Fri, 04 Aug 2017 10:00:00 GMT
1501842600 18209352 13.89 Fri, 04 Aug 2017 10:30:00 GMT
1501844400 17692416 13.50 Fri, 04 Aug 2017 11:00:00 GMT
1501846200 17663456 13.48 Fri, 04 Aug 2017 11:30:00 GMT
1501848000 17447704 13.31 Fri, 04 Aug 2017 12:00:00 GMT
1501849800 17818392 13.59 Fri, 04 Aug 2017 12:30:00 GMT
1501851600 22693112 17.31 Fri, 04 Aug 2017 13:00:00 GMT
1501853400 15277152 11.66 Fri, 04 Aug 2017 13:30:00 GMT
1501855200 18942040 14.45 Fri, 04 Aug 2017 14:00:00 GMT
1501871400 13850872 10.57 Fri, 04 Aug 2017 18:30:00 GMT
1501873200 9094192 6.94 Fri, 04 Aug 2017 19:00:00 GMT
1501875000 18753800 14.31 Fri, 04 Aug 2017 19:30:00 GMT
1501876800 15348104 11.71 Fri, 04 Aug 2017 20:00:00 GMT
1501878600 10629072 8.11 Fri, 04 Aug 2017 20:30:00 GMT
1501880400 9850048 7.51 Fri, 04 Aug 2017 21:00:00 GMT
1501882200 20158360 15.38 Fri, 04 Aug 2017 21:30:00 GMT
1501884000 18455512 14.08 Fri, 04 Aug 2017 22:00:00 GMT
1501885800 19920888 15.20 Fri, 04 Aug 2017 22:30:00 GMT
1501887600 22203688 16.94 Fri, 04 Aug 2017 23:00:00 GMT
1501889400 18081928 13.80 Fri, 04 Aug 2017 23:30:00 GMT
1501891200 18312160 13.97 Sat, 05 Aug 2017 00:00:00 GMT
1501893000 25123552 19.17 Sat, 05 Aug 2017 00:30:00 GMT
1501894800 25746192 19.64 Sat, 05 Aug 2017 01:00:00 GMT
1501896600 18477232 14.10 Sat, 05 Aug 2017 01:30:00 GMT
1501912800 15144688 11.55 Sat, 05 Aug 2017 06:00:00 GMT
1501914600 20733216 15.82 Sat, 05 Aug 2017 06:30:00 GMT
1501916400 22460680 17.14 Sat, 05 Aug 2017 07:00:00 GMT
1501918200 15795536 12.05 Sat, 05 Aug 2017 07:30:00 GMT
1501952400 10951976 8.36 Sat, 05 Aug 2017 17:00:00 GMT
1501954200 15446568 11.78 Sat, 05 Aug 2017 17:30:00 GMT
1501956000 14196944 10.83 Sat, 05 Aug 2017 18:00:00 GMT
1501957800 13580096 10.36 Sat, 05 Aug 2017 18:30:00 GMT
1501959600 14797864 11.29 Sat, 05 Aug 2017 19:00:00 GMT
1501961400 14732704 11.24 Sat, 05 Aug 2017 19:30:00 GMT
1501963200 21014128 16.03 Sat, 05 Aug 2017 20:00:00 GMT
1501965000 17646080 13.46 Sat, 05 Aug 2017 20:30:00 GMT
1501970400 20479816 15.62 Sat, 05 Aug 2017 22:00:00 GMT
1501972200 16426864 12.53 Sat, 05 Aug 2017 22:30:00 GMT
1501974000 15081672 11.51 Sat, 05 Aug 2017 23:00:00 GMT
1501975800 15539240 11.86 Sat, 05 Aug 2017 23:30:00 GMT
1501979400 21153888 16.14 Sun, 06 Aug 2017 00:30:00 GMT
1501993800 19587848 14.94 Sun, 06 Aug 2017 04:30:00 GMT
1501995600 17996496 13.73 Sun, 06 Aug 2017 05:00:00 GMT
1501997400 14957144 11.41 Sun, 06 Aug 2017 05:30:00 GMT
1501999200 21073496 16.08 Sun, 06 Aug 2017 06:00:00 GMT
1502001000 12342056 9.42 Sun, 06 Aug 2017 06:30:00 GMT
1502002800 23226672 17.72 Sun, 06 Aug 2017 07:00:00 GMT
1502004600 19718920 15.04 Sun, 06 Aug 2017 07:30:00 GMT
1502006400 18122472 13.83 Sun, 06 Aug 2017 08:00:00 GMT
1502008200 14602384 11.14 Sun, 06 Aug 2017 08:30:00 GMT
1502010000 9962992 7.60 Sun, 06 Aug 2017 09:00:00 GMT
1502011800 9350488 7.13 Sun, 06 Aug 2017 09:30:00 GMT
1502013600 12934288 9.87 Sun, 06 Aug 2017 10:00:00 GMT
1502015400 12260968 9.35 Sun, 06 Aug 2017 10:30:00 GMT
1502019000 11568128 8.83 Sun, 06 Aug 2017 11:30:00 GMT
1502020800 9932584 7.58 Sun, 06 Aug 2017 12:00:00 GMT
1502022601 5070200 3.87 Sun, 06 Aug 2017 12:30:01 GMT
1502024400 7431888 5.67 Sun, 06 Aug 2017 13:00:00 GMT
1502033400 14522744 11.08 Sun, 06 Aug 2017 15:30:00 GMT
1502082000 22316632 17.03 Mon, 07 Aug 2017 05:00:00 GMT
1502083800 20900488 15.95 Mon, 07 Aug 2017 05:30:00 GMT
